introstate	decidingtime	sessions
SKIPPED	0	3
SKIPPED	1	4
SKIPPED	10	10
SKIPPED	11	4
SKIPPED	12	5
SKIPPED	13	4
SKIPPED	14	1
SKIPPED	41	4
SKIPPED	42	1
SKIPPED	43	1
SKIPPED	44	1
SKIPPED	46	5
SKIPPED	47	1
SKIPPED	5	31
SKIPPED	50	3
SKIPPED	51	1
SKIPPED	52	1
SKIPPED	56	2
SKIPPED	57	1
SKIPPED	6	12
SKIPPED	7	8
SKIPPED	8	20
SKIPPED	9	14
WENT AWAY	0	4
WENT AWAY	1	2
WENT AWAY	10	3
WENT AWAY	11	1
WENT AWAY	13	1
WENT AWAY	14	2
WENT AWAY	2	4
WENT AWAY	21	1
WENT AWAY	23	1
WENT AWAY	27	1
WENT AWAY	29	1
WENT AWAY	3	2
WENT AWAY	31	1
WENT AWAY	33	1
WENT AWAY	38	1
WENT AWAY	4	7
WENT AWAY	44	1
WENT AWAY	45	2
WENT AWAY	5	5
WENT AWAY	51	1
WENT AWAY	54	2
WENT AWAY	6	1
WENT AWAY	7	1