ratio,SKIPPED,FULL,WENT AWAY
0.6,1094.66666666667
0.7, ,1746.5
0.8,1979
0.9,528.8333333
1,864, , 51
1.1,49, , 19
1.2, ,2935,7
1.3,27,1571,35.5
1.4,577.275,1311.44444444444,8
1.5,549.152380957143,428.5,71
1.6,709.6375,46,15
1.7,459.333333333333,486.16666668
1.8,195.848484848636,652.166666663636,39.4285714285714
1.9,687.40833333,1248.16666666667,393
2,632.327731094118,1580.0625,7.75
2.1,784.388888888889,896.7291666625,62
2.2,679.392857142857,630.666666666667,143
2.3, , 48
2.4,508
2.9,40
4,13.5
4.1,49,1591
4.5, ,544